year,total_pop,pop_child,pop_youth,pop_older,prop_child,prop_youth,prop_older,Dependency_ratio,DR_child,DR_older,ageing_index,mid_age
1960,25012374,10587583,13698341,726450,42.3,54.8,2.9,82.6,77.3,5.3,6.9,19
1961,25765673,11065019,13949773,750881,42.9,54.1,2.9,84.7,79.3,5.4,6.8,18.9
1962,26513030,11472623,14257691,782716,43.3,53.8,3,86,80.5,5.5,6.8,18.7
1963,27261747,11850374,14595205,816168,43.5,53.5,3,86.8,81.2,5.6,6.9,18.5
1964,27984155,12215638,14923382,845135,43.7,53.3,3,87.5,81.9,5.7,6.9,18.3
1965,28704674,12577740,15245851,881083,43.8,53.1,3.1,88.3,82.5,5.8,7,18.3
1966,29435571,12916059,15592878,926634,43.9,53,3.1,88.8,82.8,5.9,7.2,18.3
1967,30130983,13199493,16003566,927924,43.8,53.1,3.1,88.3,82.5,5.8,7,18.3
1968,30838302,13459383,16445982,932937,43.6,53.3,3,87.5,81.8,5.7,6.9,18.3
1969,31544266,13638232,16957491,948543,43.2,53.8,3,86,80.4,5.6,7,18.4
1970,32240827,13709367,17540152,991308,42.5,54.4,3.1,83.8,78.2,5.7,7.2,18.5
1971,32882704,13764089,18064092,1054523,41.9,54.9,3.2,82,76.2,5.8,7.7,18.6
1972,33505406,13858472,18602276,1044658,41.4,55.5,3.1,80.1,74.5,5.6,7.5,18.7
1973,34103149,13849385,19176510,1077254,40.6,56.2,3.2,77.8,72.2,5.6,7.8,18.9
1974,34692266,13790071,19781685,1120510,39.7,57,3.2,75.4,69.7,5.7,8.1,19.2
1975,35280725,13614403,20448875,1217447,38.6,58,3.5,72.5,66.6,6,8.9,19.6
1976,35848523,13434830,21151580,1262113,37.5,59,3.5,69.5,63.5,6,9.4,20
1977,36411795,13273107,21829330,1309358,36.5,60,3.6,66.8,60.8,6,9.9,20.5
1978,36969185,13116029,22495994,1357162,35.5,60.9,3.7,64.3,58.3,6,10.3,20.9
1979,37534236,13005315,23123979,1404942,34.6,61.6,3.7,62.3,56.2,6.1,10.8,21.4
1980,38123775,12950775,23716967,1456033,34,62.2,3.8,60.7,54.6,6.1,11.2,21.8
1981,38723248,12925036,24300033,1498179,33.4,62.8,3.9,59.4,53.2,6.2,11.6,22.2
1982,39326352,12886600,24880337,1559415,32.8,63.3,4,58.1,51.8,6.3,12.1,22.7
1983,39910403,12800968,25494901,1614534,32.1,63.9,4,56.5,50.2,6.3,12.6,23.2
1984,40405956,12591760,26140581,1673615,31.2,64.7,4.1,54.6,48.2,6.4,13.3,23.8
1985,40805744,12304542,26759353,1741849,30.2,65.6,4.3,52.5,46,6.5,14.2,24.3
1986,41213674,12029833,27383105,1800736,29.2,66.4,4.4,50.5,43.9,6.6,15,24.8
1987,41621690,11746377,27998885,1876428,28.2,67.3,4.5,48.7,42,6.7,16,25.4
1988,42031247,11487445,28581942,1961860,27.3,68,4.7,47.1,40.2,6.9,17.1,25.9
1989,42449038,11261131,29134922,2052985,26.5,68.6,4.8,45.7,38.7,7,18.2,26.4
1990,42869283,10973592,29700607,2195084,25.6,69.3,5.1,44.3,36.9,7.4,20,27
1991,43295704,10858720,30170543,2266441,25.1,69.7,5.2,43.5,36,7.5,20.9,27.5
1992,43747962,10791426,30610680,2345856,24.7,70,5.4,42.9,35.3,7.7,21.7,27.9
1993,44194628,10734528,31023107,2436993,24.3,70.2,5.5,42.5,34.6,7.9,22.7,28.4
1994,44641540,10653446,31445602,2542492,23.9,70.4,5.7,42,33.9,8.1,23.9,28.8
1995,45092991,10536828,31899511,2656652,23.4,70.7,5.9,41.4,33,8.3,25.2,29.3
1996,45524681,10403277,32326522,2794882,22.9,71,6.1,40.8,32.2,8.6,26.9,29.8
1997,45953580,10233102,32791167,2929311,22.3,71.4,6.4,40.1,31.2,8.9,28.6,30.3
1998,46286503,10091517,33125933,3069053,21.8,71.6,6.6,39.7,30.5,9.3,30.4,30.7
1999,46616677,9972894,33420207,3223576,21.4,71.7,6.9,39.5,29.8,9.6,32.3,31.2
2000,47008111,9911229,33701986,3394896,21.1,71.7,7.2,39.5,29.4,10.1,34.3,31.8
2001,47370164,9852452,33946787,3570925,20.8,71.7,7.5,39.5,29,10.5,36.2,32.3
2002,47644736,9732348,34155443,3756945,20.4,71.7,7.9,39.5,28.5,11,38.6,32.9
2003,47892330,9584906,34367560,3939864,20,71.8,8.2,39.4,27.9,11.5,41.1,33.5
2004,48082519,9430513,34521703,4130303,19.6,71.8,8.6,39.3,27.3,12,43.8,34.1
2005,48184561,9223260,34640514,4320787,19.1,71.9,9,39.1,26.6,12.5,46.8,34.8
2006,48438292,8979585,34932893,4525814,18.5,72.1,9.3,38.7,25.7,13,50.4,35.4
2007,48683638,8714382,35208580,4760676,17.9,72.3,9.8,38.3,24.8,13.5,54.6,36.1
2008,49054708,8478823,35587293,4988592,17.3,72.5,10.2,37.8,23.8,14,58.8,36.7
2009,49307835,8229264,35901685,5176886,16.7,72.8,10.5,37.3,22.9,14.4,62.9,37.3
2010,49554112,7979439,36208564,5366109,16.1,73.1,10.8,36.9,22,14.8,67.2,37.9
2011,49936638,7771460,36649999,5515179,15.6,73.4,11,36.3,21.2,15,71,38.5
2012,50199853,7577231,36855893,5766729,15.1,73.4,11.5,36.2,20.6,15.6,76.1,39.1
2013,50428893,7392237,37013997,6022659,14.7,73.4,11.9,36.2,20,16.3,81.5,39.7
2014,50746659,7213693,37255840,6277126,14.2,73.4,12.4,36.2,19.4,16.8,87,40.3
2015,51014947,7029883,37443896,6541168,13.8,73.4,12.8,36.2,18.8,17.5,93,40.9
2016,51217803,6864563,37596157,6757083,13.4,73.4,13.2,36.2,18.3,18,98.4,41.4
2017,51361911,6724283,37571568,7066060,13.1,73.2,13.8,36.7,17.9,18.8,105.1,42
2018,51585058,6595054,37623919,7366085,12.8,72.9,14.3,37.1,17.5,19.6,111.7,42.6
2019,51764822,6448080,37627748,7688994,12.5,72.7,14.9,37.6,17.1,20.4,119.2,43.1
2020,51836239,6305870,37378502,8151867,12.2,72.1,15.7,38.7,16.9,21.8,129.3,43.7
2021,51769539,6148341,37051333,8569865,11.9,71.6,16.6,39.7,16.6,23.1,139.4,44.3
2022,51672569,5947964,36743472,8981133,11.5,71.1,17.4,40.6,16.2,24.4,151,44.9
2023,51712619,5705235,36571568,9435816,11,70.7,18.2,41.4,15.6,25.8,165.4,45.5
2024,51751065,5485245,36327585,9938235,10.6,70.2,19.2,42.5,15.1,27.4,181.2,46.1
2025,51684564,5258466,35912191,10513907,10.2,69.5,20.3,43.9,14.6,29.3,199.9,46.7
2026,51609121,4996251,35487854,11125016,9.7,68.8,21.6,45.4,14.1,31.3,222.7,47.3
2027,51534551,4753757,35183727,11597067,9.2,68.3,22.5,46.5,13.5,33,244,47.9
2028,51459877,4530789,34803739,12125349,8.8,67.6,23.6,47.9,13,34.8,267.6,48.5
2029,51384052,4345056,34517674,12521322,8.5,67.2,24.4,48.9,12.6,36.3,288.2,49.1
2030,51305713,4159934,34165560,12980219,8.1,66.6,25.3,50.2,12.2,38,312,49.7
2031,51223269,3993899,33811710,13417660,7.8,66,26.2,51.5,11.8,39.7,336,50.3
2032,51135265,3876887,33425844,13832534,7.6,65.4,27.1,53,11.6,41.4,356.8,50.9
2033,51040632,3801329,32979445,14259858,7.4,64.6,27.9,54.8,11.5,43.2,375.1,51.4
2034,50937726,3755890,32418451,14763385,7.4,63.6,29,57.1,11.6,45.5,393.1,52
2035,50824868,3739052,31877595,15208221,7.4,62.7,29.9,59.4,11.7,47.7,406.7,52.5
2036,50701389,3743345,31283961,15674083,7.4,61.7,30.9,62.1,12,50.1,418.7,53
2037,50567057,3763572,30712083,16091402,7.4,60.7,31.8,64.6,12.3,52.4,427.6,53.4
2038,50417167,3794900,30130414,16491853,7.5,59.8,32.7,67.3,12.6,54.7,434.6,53.9
2039,50247657,3834032,29551616,16862009,7.6,58.8,33.6,70,13,57.1,439.8,54.3
2040,50059218,3878751,29029154,17151313,7.7,58,34.3,72.4,13.4,59.1,442.2,54.6
2041,49851637,3918699,28545426,17387512,7.9,57.3,34.9,74.6,13.7,60.9,443.7,55
2042,49625415,3944160,28088737,17592518,7.9,56.6,35.5,76.7,14,62.6,446,55.4
2043,49380766,3956476,27631884,17792406,8,56,36,78.7,14.3,64.4,449.7,55.7
2044,49117432,3956797,27173518,17987117,8.1,55.3,36.6,80.8,14.6,66.2,454.6,56
2045,48835031,3946176,26653748,18235107,8.1,54.6,37.3,83.2,14.8,68.4,462.1,56.4
2046,48532231,3925472,26137505,18469254,8.1,53.9,38.1,85.7,15,70.7,470.5,56.7
2047,48208374,3895330,25624032,18689012,8.1,53.2,38.8,88.1,15.2,72.9,479.8,57
2048,47863071,3856154,25167604,18839313,8.1,52.6,39.4,90.2,15.3,74.9,488.6,57.3
2049,47495914,3808132,24781109,18906673,8,52.2,39.8,91.7,15.4,76.3,496.5,57.7
2050,47106960,3751268,24447839,18907853,8,51.9,40.1,92.7,15.3,77.3,504,58.1
2051,46697391,3685429,24113219,18898743,7.9,51.6,40.5,93.7,15.3,78.4,512.8,58.4
2052,46267614,3610447,23796117,18861050,7.8,51.4,40.8,94.4,15.2,79.3,522.4,58.8
2053,45818111,3530547,23485218,18802346,7.7,51.3,41,95.1,15,80.1,532.6,59.2
2054,45350648,3449623,23151283,18749742,7.6,51,41.3,95.9,14.9,81,543.5,59.5
2055,44867534,3367015,22795051,18705468,7.5,50.8,41.7,96.8,14.8,82.1,555.6,59.9
2056,44371641,3282471,22424454,18664716,7.4,50.5,42.1,97.9,14.6,83.2,568.6,60.2
2057,43864958,3196111,21992529,18676318,7.3,50.1,42.6,99.5,14.5,84.9,584.3,60.6
2058,43349217,3108455,21549924,18690838,7.2,49.7,43.1,101.2,14.4,86.7,601.3,60.9
2059,42827316,3020414,21115982,18690920,7.1,49.3,43.6,102.8,14.3,88.5,618.8,61.2
2060,42302086,2933230,20686964,18681892,6.9,48.9,44.2,104.5,14.2,90.3,636.9,61.5
2061,41775305,2848385,20252503,18674417,6.8,48.5,44.7,106.3,14.1,92.2,655.6,61.8
2062,41248542,2767478,19833615,18647449,6.7,48.1,45.2,108,14,94,673.8,62.1
2063,40723791,2692081,19423262,18608448,6.6,47.7,45.7,109.7,13.9,95.8,691.2,62.4
2064,40202384,2623604,19039512,18539268,6.5,47.4,46.1,111.2,13.8,97.4,706.6,62.6
2065,39685210,2563179,18640458,18481573,6.5,47,46.6,112.9,13.8,99.1,721,62.7
2066,39172974,2511559,18257719,18403696,6.4,46.6,47,114.6,13.8,100.8,732.8,62.9
2067,38666431,2469073,17949189,18248169,6.4,46.4,47.2,115.4,13.8,101.7,739.1,63
2068,38165892,2435603,17663740,18066549,6.4,46.3,47.3,116.1,13.8,102.3,741.8,63
2069,37670942,2410629,17372636,17887677,6.4,46.1,47.5,116.8,13.9,103,742,63.1
